salario,educación,sexo,estado civil
3.240000009536743,12,F,MR
3.0,11,M,S
6.0,8,M,MR
5.300000190734863,12,M,MR
8.75,16,M,MR
11.25,18,M,S
5.0,12,F,S
3.5999999046325684,12,F,S
18.18000030517578,17,M,MR
6.25,16,F,S
8.130000114440918,13,F,S
8.770000457763672,12,M,MR
5.5,12,M,S
22.200000762939453,12,M,MR
17.329999923706055,16,M,MR
7.5,12,F,MR
10.630000114440918,13,F,S
3.5999999046325684,12,F,MR
4.5,12,F,MR
6.880000114440918,12,F,S
8.479999542236328,12,M,MR
6.329999923706055,16,F,S
0.5299999713897705,12,F,S
6.0,11,F,S
9.5600004196167,16,M,MR
7.78000020980835,16,M,MR
12.5,16,M,MR
12.5,15,M,MR
3.25,8,F,MR
13.0,14,M,MR
4.5,14,F,S
9.68000030517578,13,F,S
5.0,12,F,S
4.679999828338623,12,F,S
4.269999980926514,16,F,MR
6.150000095367432,12,F,MR
3.509999990463257,4,M,MR
3.0,14,F,MR
6.25,12,F,S
7.809999942779541,12,F,MR
10.0,12,F,MR
4.5,14,F,MR
4.0,11,F,MR
6.380000114440918,13,F,S
13.699999809265137,15,M,MR
1.6699999570846558,10,M,S
2.930000066757202,12,F,MR
3.650000095367432,14,M,S
2.900000095367432,12,F,MR
1.6299999952316284,12,F,S
8.600000381469727,16,F,S
5.0,12,M,MR
6.0,12,M,MR
2.5,12,M,S
3.25,15,M,S
3.400000095367432,16,F,S
10.0,8,M,S
21.6299991607666,18,F,S
4.380000114440918,16,M,S
11.710000038146973,13,F,S
12.390000343322754,14,M,S
6.25,10,M,S
3.7100000381469727,10,F,S
7.78000020980835,14,M,S
19.979999542236328,14,M,MR
6.25,16,F,MR
10.0,12,M,MR
5.710000038146973,16,M,MR
2.0,12,F,S
5.710000038146973,16,F,S
13.079999923706056,17,M,MR
4.909999847412109,12,M,MR
2.9100000858306885,12,F,MR
3.75,12,F,MR
11.899999618530272,13,M,MR
4.0,12,F,MR
3.0999999046325684,12,F,S
8.449999809265137,12,M,MR
7.139999866485596,18,M,MR
4.5,9,M,MR
4.650000095367432,16,M,S
2.900000095367432,10,F,S
6.670000076293945,12,M,S
3.5,12,F,S
3.259999990463257,12,F,MR
3.25,12,F,MR
8.0,12,F,S
9.850000381469728,8,M,MR
7.5,12,M,MR
5.909999847412109,12,M,MR
11.760000228881836,14,M,MR
3.0,12,F,S
4.809999942779541,12,F,S
6.5,12,F,S
4.0,9,F,MR
3.5,13,M,S
13.15999984741211,12,M,MR
4.25,14,M,MR
3.5,12,M,S
5.130000114440918,15,F,S
3.75,12,F,MR
4.5,12,F,MR
7.630000114440918,12,F,S
15.0,14,M,MR
6.849999904632568,15,F,MR
13.329999923706056,12,M,MR
6.670000076293945,12,M,S
2.5299999713897705,12,F,S
9.800000190734863,17,M,MR
3.369999885559082,11,M,MR
24.979999542236328,18,M,MR
5.400000095367432,12,M,MR
6.110000133514404,14,M,MR
4.199999809265137,14,F,MR
3.75,10,M,S
3.5,14,F,MR
3.640000104904175,12,M,S
3.799999952316284,15,M,MR
3.0,8,F,MR
5.0,16,F,MR
4.630000114440918,14,F,MR
3.0,15,M,S
3.200000047683716,12,F,S
3.910000085830689,18,M,MR
6.429999828338623,16,F,MR
5.480000019073486,10,F,MR
1.5,8,M,S
2.900000095367432,10,F,S
5.0,11,M,MR
8.920000076293945,18,M,MR
5.0,15,M,S
3.5199999809265137,12,M,MR
2.900000095367432,11,F,S
4.5,12,M,MR
2.25,12,F,S
5.0,14,M,MR
10.0,16,M,MR
3.75,2,M,MR
10.0,14,F,MR
10.949999809265137,16,M,MR
7.900000095367432,12,M,S
4.71999979019165,12,F,S
5.840000152587891,13,F,MR
3.829999923706055,12,F,S
3.200000047683716,15,F,S
2.0,10,F,S
4.5,12,F,MR
11.550000190734863,16,F,MR
2.140000104904175,13,F,MR
2.380000114440918,9,M,S
3.75,12,M,S
5.519999980926514,13,M,S
6.5,12,F,MR
3.0999999046325684,12,F,S
10.0,14,M,MR
6.630000114440918,16,M,MR
10.0,16,M,MR
2.309999942779541,9,F,S
6.880000114440918,18,M,S
2.8299999237060547,10,M,S
3.130000114440918,10,F,S
8.0,13,M,MR
4.5,12,F,MR
8.649999618530273,18,F,S
2.0,13,F,S
4.75,12,F,MR
6.25,13,F,MR
6.0,13,M,MR
15.380000114440918,13,M,MR
14.579999923706056,18,F,S
12.5,12,M,S
5.25,12,F,MR
2.1700000762939453,13,F,S
7.139999866485596,12,F,S
6.21999979019165,12,F,MR
9.0,12,F,MR
10.0,14,M,MR
5.769999980926514,10,M,MR
4.0,12,F,MR
8.75,16,M,MR
